"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FKBP5",1.28931658333333,9.60552445833333,7.43671809147917,1.8686407422428e-05,0.00680013037339242,3.32239649205578
"ZNF449",-2.39006603333333,5.50809835,-7.4312265062978,1.88085536699121e-05,0.00680013037339242,3.31630506550661
"IFIT3",1.88119841666667,9.294693625,7.39626985206093,1.96065946529616e-05,0.00700313462578304,3.2774336536636
"GM2A",1.44177966666667,14.2566355,7.378313601893,2.00306897661768e-05,0.0070690242606229,3.2574015266974
"PLB1",-2.5162055,6.33931023333333,-7.37394930812148,2.01352575346402e-05,0.0070690242606229,3.25252601095216
"CTSB",-1.13650641666666,15.3492057916667,-7.36507807794569,2.03496336526143e-05,0.00708374196537954,3.24260757015063
"SEMA3G",2.0438261,2.8696805,7.35312183929269,2.06424712141682e-05,0.00709686549612676,3.2292228424498
"CCL2",-3.90212383333333,14.3038970833333,-7.34253164741185,2.09056559799235e-05,0.00709686549612676,3.21735094916253
"TMSB10",0.659780000000001,15.100243,7.3013272323494,2.19646876883813e-05,0.0073345040016346,3.1710125218927
"OSBPL8",0.906429083333334,10.6673879583333,7.2956632100795,2.21147384512869e-05,0.0073345040016346,3.16462442477926
"DDR1",-1.77045898333333,2.84783325833333,-7.28643357713435,2.23616269080608e-05,0.0073345040016346,3.15420537744311
"CNRIP1",-2.80924713333333,8.41870955,-7.28286387443455,2.24579119710427e-05,0.0073345040016346,3.1501724837082
"DISC1",-1.40982246666667,8.54031335,-7.27480118730904,2.2677037886055e-05,0.0073345040016346,3.14105710738789
"SLC43A2",-1.58184903333333,7.01390646666667,-7.25649455875284,2.31831949080294e-05,0.00743963214095482,3.12032678569184
"CRYBB1",-5.54783313333333,5.31483006666667,-7.2349240733468,2.37953069390045e-05,0.00757686843276395,3.09584064595094
"GIMAP7",-2.12315983333333,10.6343800833333,-7.20936914528771,2.45431676822188e-05,0.00767720347224844,3.06674749392308
"AOAH",-1.12171341666666,9.91427720833333,-7.19892543677095,2.48560743238004e-05,0.00767720347224844,3.05483151444898
"HIST1H2BM",1.22098883333333,10.0066435833333,7.19886091599588,2.48580207860805e-05,0.00767720347224844,3.05475785058902
"FAM105A",-1.85035408333333,4.735708825,-7.18700918421565,2.52183714425626e-05,0.0077303718311545,3.04121674397373
"RAP1GAP",4.39213906666667,5.64478486666667,7.17850475642309,2.54804224406759e-05,0.007752843201283,3.03148793648472
"TAPT1",1.00453766666667,10.3241391666667,7.16897012059557,2.57777186541762e-05,0.00778562920175694,3.02056852945808
"TENC1",1.61862185,6.78997794166667,7.15499443375809,2.62202789824027e-05,0.007828334542401,3.00453998027013
"HSF2",-0.716809749999999,8.677980625,-7.15249536614295,2.63002767273186e-05,0.007828334542401,3.00167093305145
"LONRF3",0.890248583333334,9.84377570833333,7.13237239671614,2.69541206411068e-05,0.00790833899610073,2.97853674993317
"VAX2",1.01826196666667,2.3212146,7.10324719116445,2.79317456995839e-05,0.00805265190068135,2.94495199335986
"SLC46A3",-1.13127438333333,5.69877195833333,-7.10026132163336,2.80341129077182e-05,0.00805265190068135,2.94150215742525
"SNX10",1.3491895,14.8150060833333,7.0850466406175,2.85620590756947e-05,0.00809436617626995,2.92390368994912
"RAC3",1.2352132,7.73139973333333,7.08472168007645,2.85734515424857e-05,0.00809436617626995,2.92352745767213
"GIMAP8",-1.63808416666666,9.83640925,-7.04514523182756,2.99982887952903e-05,0.0083429845925802,2.87759452774763
"PHOSPHO1",2.20073803333333,3.7182943,7.04346596888653,3.00604177549389e-05,0.0083429845925802,2.87564062502215
"VNN1",-1.56057408333333,7.87955620833333,-7.01560069371356,3.11118988678206e-05,0.00849234183458139,2.84315932664317
"KANK2",-1.63145683333333,10.3515245,-7.00984901877051,3.1333838106362e-05,0.00849234183458139,2.83644104936559
"CD38",-4.91578438333333,5.63139004166667,-7.00748503758531,3.14255516324952e-05,0.00849234183458139,2.83367841552187
"DGKD",-0.932441249999998,9.43359045833333,-6.98041242905618,3.24967696861867e-05,0.00861185362341809,2.80198332743424
"ELOVL7",1.80142236666667,3.49218208333333,6.93752489915471,3.42752333104178e-05,0.00902493258627384,2.75155763163199
"GPR65",-1.10058291666667,10.0107224583333,-6.91971654520183,3.50443184096983e-05,0.00913950032151918,2.73054134030084
"PATZ1",-1.20176111666666,7.55413060833333,-6.91212417915234,3.53778496231753e-05,0.00913950032151918,2.72156738986945
"DDX60",0.808269666666667,8.459059,6.90240872585904,3.58096501425861e-05,0.00916009777995353,2.7100718604933
"HIST3H2BB",1.13602966666667,9.75833983333333,6.89786917928244,3.60133543962312e-05,0.00916009777995353,2.70469589266759
"SPATS2",1.2378584,6.58207141666667,6.89535766926448,3.61265907184846e-05,0.00916009777995353,2.70172034989688
