"GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Rinl",-0.523037999999999,10.301721,-2.87899305424079,0.0121438919085014,0.0506964832383018,-3.82918257425608
"Wbscr28",-0.285203999999999,7.894682,-2.87897656923923,0.0121442870862916,0.0506964832383018,-3.82921427768504
"Pyroxd1",0.302572,7.587616,2.87890430895547,0.0121460194557827,0.0506964832383018,-3.82935324582029
"Grn",-0.184860000000001,13.25303,-2.87882640548498,0.0121478873867875,0.0506964832383018,-3.82950306573127
"Fpgs",0.305099999999999,10.54359,2.877830345144,0.0121717952880285,0.0507771719267257,-3.83141854770334
"Rnf2",0.439682,8.531929,2.87752764954218,0.0121790698708391,0.0507979762494091,-3.83200061600882
"Mtfr2",0.38015,6.624591,2.87728497673904,0.0121849050265475,0.0508127701445094,-3.83246725241438
"Jrkl",-0.279564000000001,7.937454,-2.87683099310305,0.012195828594963,0.0508487738978121,-3.83334019264204
"Hmgxb3",0.265082000000001,9.092409,2.87534517500129,0.0122316469678357,0.050988539997702,-3.83619694863783
"Bcl2a1d",0.189360000000001,13.17242,2.87464358022765,0.0122485960517442,0.0510496103462898,-3.83754576331235
"Crhbp",-0.244698000000001,7.128119,-2.87406018236051,0.0122627072858745,0.0510988324244941,-3.83866728149589
"Zfp282",-0.270254000000001,8.671439,-2.87368798608501,0.0122717183055477,0.0511267873720434,-3.83938275787864
"Iqcf5",-0.230853999999999,7.323635,-2.87335269954005,0.012279841287342,0.0511510327568406,-3.84002726232716
"Usp35",-0.294648,7.591216,-2.87304832904934,0.0122872198337824,0.0511715215329269,-3.84061232196549
"Dexi",-0.26632,8.813242,-2.87295971490457,0.0122893688343285,0.0511715215329269,-3.84078265274971
"Usp45",-0.267572,9.087298,-2.87244742452918,0.0123017997266006,0.0512136791767701,-3.84176733207928
"Ahdc1",-0.291871999999999,8.54983,-2.87233510392053,0.0123045268708557,0.0512154308705195,-3.84198321890683
"Ddx56",0.344646,7.226963,2.871400974954,0.0123272305084608,0.0513003149683061,-3.84377858713098
"Tpp1",0.324700000000001,11.19129,2.87069630253146,0.01234438448086,0.051362076406591,-3.84513284889615
"Naf1",0.445182,6.509921,2.87001160877775,0.012361074535474,0.0514218848135513,-3.84644863438453
"Axin1",0.212068000000001,9.297228,2.86967931576898,0.0123691824656094,0.0514448839249772,-3.84708717779908
"Tm9sf3",0.390961999999999,9.766945,2.86959516324646,0.0123712366098972,0.0514448839249772,-3.84724888463332
"Lpar2",-0.281926,8.058235,-2.86940976190857,0.0123757633958258,0.0514540726395259,-3.84760514616163
"Bbs5",-0.251804,6.998898,-2.86820156838282,0.0124053026378891,0.051558091578335,-3.84992663071961
"Egr2",-0.349359999999999,12.4099,-2.86819654050201,0.0124054257094048,0.051558091578335,-3.84993629102704
"Kif2c",-0.54051,7.660379,-2.86808433206904,0.0124081726377928,0.0515598580828644,-3.85015188132639
"Senp2",0.318194,9.172217,2.8679052268793,0.0124125584741576,0.0515684328301486,-3.8504959984496
"Rexo1",0.276962,9.670019,2.86768917009149,0.0124178511856102,0.0515807713108229,-3.85091110388829
"Aatf",0.317786,9.400105,2.86715876530168,0.0124308538218179,0.0516251243626874,-3.85193012591794
"Crybb3",-0.288444,8.820314,-2.86631160846131,0.0124516491910601,0.0517018178640017,-3.85355759748413
"BC029214",-0.334258,7.202959,-2.86571920825487,0.0124662112509617,0.0517526055410089,-3.85469558373877
"BC117067 // GenBank // Mus musculus zinc finger protein 397 opposite strand, mRNA (cDNA clone MGC:151444 IMAGE:40126386), complete cds. // chr18 // 100 // 100 // 0 // --- // 0",-0.35684,7.365242,-2.86520742415181,0.0124788050943384,0.0517952048457715,-3.85567866016463
"Cnst",-0.285236,8.906182,-2.86505289843479,0.0124826100724867,0.0518013155054455,-3.85597547689737
"Ipo13",0.493458,8.609401,2.86387304589416,0.0125116998078759,0.0519123329472519,-3.85824163147503
